Date,Revenue,,
2019-01-01,812849718,,
2019-02-01,642462229,,
2019-03-01,944713684,,
2019-04-01,1034976565,,
2019-05-01,1077207891,,
2019-06-01,1149161011,,
2019-07-01,1246805180,,
2019-08-01,837762496,,
2019-09-01,686774284,,
2019-10-01,780710735,,
2019-11-01,959213976,,
2019-12-01,1148164552,,
2020-01-01,897742569,,
2020-02-01,638100004,,
2020-03-01,253352701,,
2020-04-01,52019,,
2020-05-01,995838,,
2020-06-01,3723970,,
2020-07-01,7480809,,
2020-08-01,32674551,,
2020-09-01,74460665,,
2020-10-01,63461056,,
2020-11-01,62878535,,
2020-12-01,67705373,,
2021-01-01,65138132,,
2021-02-01,57867435,,
2021-03-01,113731667,,
2021-04-01,195697811,,
2021-05-01,213992446,,
2021-06-01,401669535,,
2021-07-01,588203136,,
2021-08-01,418218551,,
2021-09-01,367179940,,
2021-10-01,623287457,,
2021-11-01,523337144,,
2021-12-01,921531474,,
2022-01-01,389784418,,
2022-02-01,365928217,,
2022-03-01,589391854,,
2022-04-01,571026913,,
2022-05-01,785976656,,
2022-06-01,968951977,,
2022-07-01,1133519549,,
2022-08-01,466963558,,
2022-09-01,323646542,,
2022-10-01,469138275,,
2022-11-01,628232540,,
2022-12-01,677961311,,
2023-01-01,584765684,,
2023-02-01,500845791,,
2023-03-01,638186282,,
2023-04-01,900887437,,
2023-05-01,773986411,,
2023-06-01,1003798428,,
2023-07-01,1362763921,,
2023-08-01,812895618,,
2023-09-01,474603340,,
2023-10-01,556306656,,
2023-11-01,551915461,,
2023-12-01,748878132,,
2024-01-01,495884937,,
2024-02-01,364260384,,
2024-03-01,749278419,,
2024-04-01,430307281,,
2024-05-01,550391171,,
2024-06-01,965940428,,
2024-07-01,1180632742,,
2024-08-01,892114501,,
2024-09-01,592444133,,
2024-10-01,461879234,,
2024-11-01,488442292,,
