Date,Value,Series,
1977 ,3.1,Pninety,
1978 ,3.1,Pninety,
1979 ,3.2,Pninety,
1980 ,3.3,Pninety,
1981 ,3.4,Pninety,
1982 ,3.3,Pninety,
1983 ,3.5,Pninety,
1984 ,3.3,Pninety,
1985 ,3.8,Pninety,
1986 ,3.7,Pninety,
1987 ,4.0,Pninety,
1988 ,4.4,Pninety,
1989 ,4.4,Pninety,
1990 ,4.8,Pninety,
1991 ,4.7,Pninety,
1992 ,4.5,Pninety,
1993 ,4.5,Pninety,
1994,4.3,Pninety,
1995,4.3,Pninety,
1996,4.4,Pninety,
1997,4.5,Pninety,
1998,4.6,Pninety,
1999,4.6,Pninety,
2000,4.5,Pninety,
2001,4.6,Pninety,
2002,4.4,Pninety,
2003,4.1,Pninety,
2004,4.1,Pninety,
2005,4.4,Pninety,
2006,4.6,Pninety,
2007,4.6,Pninety,
2008,4.3,Pninety,
2009,4.3,Pninety,
2010,4.1,Pninety,
2011,4.0,Pninety,
2012,4.1,Pninety,
2013,4.2,Pninety,
2014,4.2,Pninety,
2015,3.9,Pninety,
2016,3.9,Pninety,
2017,4.2,Pninety,
2018,4.6,Pninety,
2019,4.3,Pninety,
2020,4.3,Pninety,
2021,4.5,Pninety,
2022,4.2,Pninety,
1977 ,3.6,Seighty,
1978 ,3.5,Seighty,
1979 ,3.6,Seighty,
1980 ,3.9,Seighty,
1981 ,3.9,Seighty,
1982 ,3.9,Seighty,
1983 ,4.1,Seighty,
1984 ,3.9,Seighty,
1985 ,4.4,Seighty,
1986 ,4.5,Seighty,
1987 ,4.9,Seighty,
1988 ,5.4,Seighty,
1989 ,5.4,Seighty,
1990 ,6.0,Seighty,
1991 ,5.7,Seighty,
1992 ,5.5,Seighty,
1993 ,5.5,Seighty,
1994,5.2,Seighty,
1995,5.2,Seighty,
1996,5.4,Seighty,
1997,5.5,Seighty,
1998,5.8,Seighty,
1999,6.0,Seighty,
2000,5.7,Seighty,
2001,6.0,Seighty,
2002,5.5,Seighty,
2003,5.3,Seighty,
2004,5.3,Seighty,
2005,5.7,Seighty,
2006,6.1,Seighty,
2007,6.6,Seighty,
2008,5.7,Seighty,
2009,5.8,Seighty,
2010,5.3,Seighty,
2011,5.2,Seighty,
2012,5.5,Seighty,
2013,5.8,Seighty,
2014,5.7,Seighty,
2015,5.6,Seighty,
2016,5.2,Seighty,
2017,5.8,Seighty,
2018,6.2,Seighty,
2019,5.8,Seighty,
2020,5.9,Seighty,
2021,6.2,Seighty,
2022,5.5,Seighty,
