Title,Worldwide gross
Avatar,"$2,923,706,026"
Avengers: Endgame,"$2,797,501,328"
Avatar: The Way of Water,"$2,320,250,281"
Titanic,"T$2,257,844,554"
Star Wars: The Force Awakens,"$2,068,223,624"
Avengers: Infinity War,"$2,048,359,754"
Spider-Man: No Way Home,"$1,922,598,800"
Inside Out 2 †,"$1,698,451,580"
Jurassic World,"$1,671,537,444"
The Lion King,"$1,656,943,394"
The Avengers,"$1,518,815,515"
Furious 7,"$1,515,341,399"
Top Gun: Maverick,"$1,495,696,292"
Frozen II,"$1,450,026,933"
Barbie,"$1,446,938,421"
Avengers: Age of Ultron,"$1,402,809,540"
The Super Mario Bros. Movie,"$1,362,566,989"
Black Panther,"$1,347,280,838"
Harry Potter and the Deathly Hallows – Part 2,"$1,342,139,727"
Deadpool & Wolverine †,"$1,338,057,499"
Star Wars: The Last Jedi,"$1,332,539,889"
Jurassic World: Fallen Kingdom,"$1,308,473,425"
Frozen,"F$1,290,000,000"
Beauty and the Beast,"$1,263,521,126"
Incredibles 2,"$1,242,805,359"
The Fate of the Furious,"F8$1,238,764,765"
Iron Man 3,"$1,214,811,252"
Minions,"$1,159,444,662"
Captain America: Civil War,"$1,153,337,496"
Aquaman,"$1,148,528,393"
The Lord of the Rings: The Return of the King,"$1,147,997,407"
Spider-Man: Far From Home,"$1,132,679,685"
Captain Marvel,"$1,128,274,794"
Transformers: Dark of the Moon,"$1,123,794,079"
Skyfall,"$1,108,594,137"
Transformers: Age of Extinction,"$1,104,054,072"
The Dark Knight Rises,"$1,081,169,825"
Joker,"$1,074,458,282"
Star Wars: The Rise of Skywalker,"$1,074,144,248"
Toy Story 4,"$1,073,394,593"
Toy Story 3,"$1,066,970,811"
Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747"
Rogue One: A Star Wars Story,"$1,057,420,387"
Aladdin,"$1,050,693,953"
Star Wars: Episode I – The Phantom Menace,"$1,046,515,409"
Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802"
Jurassic Park,"$1,037,535,230"
Despicable Me 3,"$1,034,800,131"
Finding Dory,"$1,028,570,942"
Alice in Wonderland,"$1,025,468,216"
